Year,Player,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2022,Alex Caruso,33,,12/26/2022,28-301,CHI,,HOU,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,34,,12/28/2022,28-303,CHI,,MIL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,35,31,12/30/2022,28-305,CHI,,DET,W (+14),0,20:21,3,4,0.75,2,2,1,0,0,,1,1,2,2,2,1,2,3,8,8.3,7
2022,Alex Caruso,36,32,12/31/2022,28-306,CHI,,CLE,L (-1),0,25:10:00,1,3,0.333,1,1,1,1,2,0.5,1,3,4,3,2,1,1,2,4,6.5,11
2022,Alex Caruso,37,33,1/2/2023,28-308,CHI,@,CLE,L (-11),0,22:20,2,7,0.286,0,1,0,0,0,,1,1,2,1,1,0,0,6,4,0.2,-1
2022,Alex Caruso,38,34,1/4/2023,28-310,CHI,,BRK,W (+9),0,2:41,1,1,1,0,0,,0,0,,0,0,0,1,0,0,1,0,2,1.4,1
2022,Alex Caruso,39,,1/6/2023,28-312,CHI,@,PHI,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,40,,1/7/2023,28-313,CHI,,UTA,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,41,35,1/9/2023,28-315,CHI,@,BOS,L (-8),0,19:49,2,5,0.4,2,3,0.667,0,0,,0,2,2,4,0,1,2,3,6,4.2,0
2022,Alex Caruso,42,36,1/11/2023,28-317,CHI,@,WAS,L (-3),1,27:43:00,3,11,0.273,0,2,0,0,0,,2,2,4,2,1,1,1,3,6,2.4,-16
2022,Alex Caruso,43,37,1/13/2023,28-319,CHI,,OKC,L (-14),1,32:51:00,4,6,0.667,2,4,0.5,1,2,0.5,2,2,4,5,5,1,2,3,11,16,-6
2022,Alex Caruso,44,38,1/15/2023,28-321,CHI,,GSW,W (+14),1,30:54:00,4,10,0.4,2,6,0.333,2,2,1,0,9,9,7,2,0,1,3,12,14,24
2022,Alex Caruso,45,39,1/19/2023,28-325,CHI,@,DET,W (+18),0,22:25,1,4,0.25,0,1,0,0,0,,1,2,3,3,4,3,0,2,2,8.3,9
2022,Alex Caruso,46,40,1/23/2023,28-329,CHI,,ATL,W (+11),0,28:01:00,5,9,0.556,2,4,0.5,0,0,,2,2,4,2,3,1,0,1,12,14.4,10
2022,Alex Caruso,47,41,1/24/2023,28-330,CHI,@,IND,L (-6),0,28:24:00,0,3,0,0,1,0,4,4,1,2,5,7,1,1,0,2,5,4,2.5,-13
2022,Alex Caruso,48,42,1/26/2023,28-332,CHI,@,CHO,L (-15),0,24:07:00,1,2,0.5,0,1,0,0,0,,2,1,3,0,3,0,2,3,2,2.5,9
2022,Alex Caruso,49,43,1/28/2023,28-334,CHI,@,ORL,W (+19),0,20:48,3,3,1,0,0,,1,2,0.5,0,2,2,3,2,0,1,4,7,7.8,19
2022,Alex Caruso,50,44,1/31/2023,28-337,CHI,,LAC,L (-5),0,22:45,3,3,1,2,2,1,2,2,1,0,2,2,3,2,2,1,2,10,13.4,5
2022,Alex Caruso,51,45,2/2/2023,28-339,CHI,,CHO,W (+16),0,7:05,2,3,0.667,1,2,0.5,2,2,1,1,2,3,1,1,0,1,0,7,7.7,3
2022,Alex Caruso,52,,2/4/2023,28-341,CHI,,POR,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,53,,2/6/2023,28-343,CHI,,SAS,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,54,46,2/7/2023,28-344,CHI,@,MEM,L (-15),1,26:24:00,1,5,0.2,0,3,0,0,0,,2,4,6,5,1,0,3,4,2,1.4,-8
2022,Alex Caruso,55,47,2/9/2023,28-346,CHI,@,BRK,L (-11),0,29:32:00,1,3,0.333,0,2,0,4,4,1,0,7,7,2,1,0,1,1,6,7.4,9
2022,Alex Caruso,56,48,2/11/2023,28-348,CHI,@,CLE,L (-8),0,21:08,0,0,,0,0,,0,0,,0,4,4,1,0,0,1,3,0,-0.3,-12
2022,Alex Caruso,57,,2/13/2023,28-350,CHI,,ORL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,58,49,2/15/2023,28-352,CHI,@,IND,L (-4),1,29:49:00,2,5,0.4,1,3,0.333,0,0,,1,1,2,3,3,1,1,5,5,6.1,4
2022,Alex Caruso,59,,2/16/2023,28-353,CHI,,MIL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,60,50,2/24/2023,28-361,CHI,,BRK,W (+44),1,19:27,2,3,0.667,0,1,0,0,0,,0,2,2,1,0,1,0,3,4,3.5,27
2022,Alex Caruso,61,51,2/26/2023,28-363,CHI,,WAS,W (+20),1,25:53:00,2,6,0.333,2,6,0.333,0,0,,1,3,4,3,2,0,0,3,6,7.1,11
2022,Alex Caruso,62,52,2/28/2023,29-000,CHI,@,TOR,L (-6),1,26:16:00,2,5,0.4,1,4,0.25,1,1,1,1,3,4,6,1,1,3,3,6,6.6,1
2022,Alex Caruso,63,53,3/1/2023,29-001,CHI,@,DET,W (+2),1,20:08,2,5,0.4,2,4,0.5,2,2,1,0,1,1,2,0,0,3,4,8,2.4,6
